Name,Studio,Genre,Score,Ranked,Popularity,Members
Kuuchuu Buranko,Toei Animation,Drama,7.93,668,85882,1964
Love Live! The School Idol Movie,Sunrise,Slice of Life,7.93,669,121146,1516
Marine Shukkou!!,Frontier One,Music,7.93,670,3545,8436
SKET Dance: Imouto no Nayami ni Nayamu Ani ni Nayamu Imouto to Sono Nakama-tachi,Tatsunoko Production,Comedy,7.93,671,20537,4200
Tamako Love Story,Kyoto Animation,Romance,7.93,672,339157,566
Touhai Densetsu Akagi: Yami ni Maiorita Tensai,Madhouse,Suspense,7.93,673,94008,1845
Zetsuen no Tempest,Bones,Action,7.93,674,557165,330
One Piece Film: Gold,Toei Animation,Action,7.92,675,173731,1135
Overlord,Madhouse,Action,7.92,676,1372018,69
Overlord III,Madhouse,Action,7.92,677,759066,195
Plastic Memories,Doga Kobo,Drama,7.92,678,843543,162
Umibe no Étranger,Studio Hibari,Boys Love,7.92,679,132793,1418
Yakitate!! Japan,Sunrise,Comedy,7.92,680,91392,1880
Yuru Yuri San☆Hai!,TYO Animations,Comedy,7.92,681,114997,1587
Cike Wu Liuqi,AHA Entertainment,Action,7.92,682,69100,2240
City Hunter,Sunrise,Action,7.92,683,69867,2220
Code Geass: Fukkatsu no Lelouch,Sunrise,Action,7.92,684,280677,711
Detective Conan OVA 09: The Stranger in 10 Years...,TMS Entertainment,Adventure,7.92,685,19624,4287
Eyeshield 21,Gallop,Sports,7.92,686,169799,1175
Final Fantasy VII: Advent Children Complete,Square Enix,Action,7.92,687,125609,1481
Hanasaku Iroha,P.A. Works,Drama,7.92,688,309920,627
Kotonoha no Niwa,CoMix Wave Films,Drama,7.92,689,766226,191
Macross,Tatsunoko Production,Action,7.92,690,97985,1794
Aria the Avvenire,TYO Animations,Fantasy,7.91,691,24953,3865
Bungou Stray Dogs: Dead Apple,Bones,Action,7.91,692,222159,902
Date A Live II: Kurumi Star Festival,Production IMS,Romance,7.91,693,165904,1200
Ergo Proxy,Manglobe,Mystery,7.91,694,579835,308
Gake no Ue no Ponyo,Studio Ghibli,Adventure,7.91,695,493537,370
Hidamari Sketch x ☆☆☆,Shaft,Comedy,7.91,696,25665,3808
Ie Naki Ko Remy,Nippon Animation,Adventure,7.91,697,18663,4395
JoJo no Kimyou na Bouken (TV),David Production,Action,7.91,698,1431156,64
Jormungand: Perfect Order,White Fox,Action,7.91,699,174394,1129
Kaleido Star,Gonzo,Comedy,7.91,700,78941,2060
Kono Oto Tomare!,Platinum Vision,Drama,7.91,701,245168,813
Lupin III (2015),Telecom Animation Film,Action,7.91,702,63638,2356
Ore Monogatari!!,Madhouse,Comedy,7.91,703,602769,285
Quanzhi Gaoshou,B.CMAY PICTURES,Action,7.91,704,336863,569
Sakigake!! Cromartie Koukou,Production I.G,Comedy,7.91,705,127996,1451
Shirokuma Cafe,Pierrot,Comedy,7.91,706,87047,1947
Tonikaku Kawaii,Seven Arcs,Comedy,7.91,707,598521,289
Ushio to Tora (TV) 2nd Season,MAPPA,Action,7.91,708,122551,1500
Vanitas no Karte,Bones,Supernatural,7.91,709,397869,469
Yagate Kimi ni Naru,TROYCA,Drama,7.91,710,289496,689
Yuri!!! on Ice,MAPPA,Sports,7.91,711,795107,176
Zoku Sayonara Zetsubou Sensei,Shaft,Comedy,7.91,712,124685,1485
Ookiku Furikabutte,A-1 Pictures,Comedy,7.9,713,94401,1839
Saiunkoku Monogatari,Madhouse,Adventure,7.9,714,89152,1914
School Rumble,Studio Comet,Comedy,7.9,715,308941,628
Shijou Saikyou no Deshi Kenichi OVA,Brain's Base,Action,7.9,716,53346,2590
Tennis no Ouji-sama: Zenkoku Taikai-hen,M.S.C,Sports,7.9,717,43325,2894
Tennis no Ouji-sama: Zenkoku Taikai-hen - Semifinal,M.S.C,Sports,7.9,718,34971,3271
Terra e... (TV),Tokyo Kids,Action,7.9,719,58252,2479
Vampire Hunter D (2000),Madhouse,Action,7.9,720,159695,1234
Death Billiards,Madhouse,Drama,7.9,721,222766,900
Drifters,Hoods Drifters Studio,Action,7.9,722,505106,361
ef: A Tale of Memories.,Shaft,Drama,7.9,723,242064,823
Free! Eternal Summer: Kindan no All Hard!,Kyoto Animation,Comedy,7.9,724,88017,1931
Gakuen Babysitters,Brain's Base,Comedy,7.9,725,284657,700
Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,Kitty Film Mitaka Studio,Action,7.9,726,35363,3248
Higurashi no Naku Koro ni,Studio Deen,Horror,7.9,727,742311,205
Jigoku Shoujo Futakomori,Studio Deen,Horror,7.9,728,151531,1289
Machikado Mazoku: 2-choume,J.C.Staff,Comedy,7.9,729,48865,2718
Macross F,Satelight,Action,7.9,730,139327,1372
Carole & Tuesday,Bones,Drama,7.89,731,295402,670
Code Geass: Hangyaku no Lelouch I - Koudou,Sunrise,Action,7.89,732,89124,1915
Fate/Grand Carnival,Lerche,Comedy,7.89,733,42760,2930
Ginga Sengoku Gunyuuden Rai,E&G Films,Adventure,7.89,734,13965,4925
Initial D Third Stage,Studio Deen,Action,7.89,735,150529,1295
Kami nomi zo Shiru Sekai II,Manglobe,Comedy,7.89,736,366040,512
Karigurashi no Arrietty,Studio Ghibli,Fantasy,7.89,737,301866,653
Megalo Box,TMS Entertainment,Sci-Fi,7.89,738,459872,398
Mobile Suit Zeta Gundam,Sunrise,Drama,7.89,739,64392,2335
Osomatsu-san Movie,Pierrot,Comedy,7.89,740,13134,5061
Sekaiichi Hatsukoi OVA,Studio Deen,Boys Love,7.89,741,67054,2279
Wu Shan Wu Xing (2020),Nice Boat Animation,Action,7.89,742,42420,2944
Mahou Shoujo Lyrical Nanoha: The Movie 1st,Seven Arcs,Action,7.88,743,29518,3553
One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,Toei Animation,Adventure,7.88,744,80048,2045
One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,Toei Animation,Action,7.88,745,33004,3364
Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,Brain's Base,Adventure,7.88,746,156878,1255
Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,Studio Deen,Boys Love,7.88,747,61340,2402
Shadows House 2nd Season,CloverWorks,Slice of Life,7.88,748,58109,2483
Space☆Dandy,Bones,Comedy,7.88,749,320790,606
Zan Sayonara Zetsubou Sensei,Shaft,Comedy,7.88,750,100520,1767
Beastars,Orange,Drama,7.88,751,741417,208
Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,Studio 4°C,Action,7.87,759,188076,1046
Carnival Phantasm,Lerche,Comedy,7.88,752,182109,1084
Detective Conan Movie 02: The Fourteenth Target,TMS Entertainment,Adventure,7.88,753,57685,2493
Dramaturgy,add some,Music,7.88,754,4815,7586
Hoozuki no Reitetsu 2nd Season,Studio Deen,Comedy,7.88,755,43037,2909
Inochi no Tabekata,add some,Horror,7.88,756,3705,8330
Les Misérables: Shoujo Cosette,Nippon Animation,Drama,7.88,757,26140,3767
Beelzebub,Pierrot Plus,Action,7.87,758,549302,333
Bishoujo Senshi Sailor Moon S,Toei Animation,Drama,7.87,760,133507,1408
Bleach,Pierrot,Action,7.87,761,1678081,40
Densetsu Kyojin Ideon: Hatsudou-hen,Sunrise,Drama,7.87,762,8420,6052
Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,CloverWorks,Action,7.87,763,56000,2529
High☆Speed! Movie: Free! Starting Days,Kyoto Animation,Drama,7.87,764,85238,1972
Lupin III vs. Detective Conan: The Movie,TMS Entertainment,Action,7.87,765,28687,3610
Mahoutsukai no Yome: Nishi no Shounen to Seiran no Kishi,Studio Kafka,Fantasy,7.87,766,50597,2675
Noragami Aragoto OVA,Bones,Comedy,7.87,767,239542,829
Princess Connect! Re:Dive Season 2,CygamesPictures,Action,7.87,768,97047,1805
Sayonara Zetsubou Sensei,Shaft,Comedy,7.87,769,322909,600
Seitokai Yakuindomo* OVA,GoHands,Comedy,7.87,770,73118,2154
Sekaiichi Hatsukoi 2,Studio Deen,Boys Love,7.87,771,147221,1321
Summer Ghost,Flat Studio,Supernatural,7.87,772,47597,2761
Tennis no Ouji-sama,Trans Arts,Sports,7.87,773,168134,1186
Tentai Senshi Sunred 2nd Season,AIC ASTA,Comedy,7.87,774,7488,6354
There She Is!!,add some,Comedy,7.87,775,23604,3951
Tiger & Bunny,Sunrise,Action,7.87,776,212393,942
Top wo Nerae! Gunbuster,Gainax,Action,7.87,777,112290,1612
Magic Kaito 1412,A-1 Pictures,Adventure,7.86,778,113608,1598
Mobile Suit Gundam: Hathaway's Flash,Sunrise,Action,7.86,779,26076,3776
Musekinin Kanchou Tylor,Tatsunoko Production,Comedy,7.86,780,44305,2857
Shingeki no Kyojin OVA,Wit Studio,Action,7.86,781,411071,454
Wan Sheng Jie 3,add some,Comedy,7.86,782,3241,8655
Yi Nian Yong Heng,B.CMAY PICTURES,Action,7.86,783,9498,5750
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),Lerche,Drama,7.86,784,955528,130
Yuru Yuri Nachuyachumi!,TYO Animations,Comedy,7.86,785,68165,2260
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,A-1 Pictures,Drama,7.86,786,272332,735
Douluo Dalu,Sparkly Key Animation Studio,Action,7.86,787,22726,4022
Douluo Dalu: Feng Qi Tang Men,Sparkly Key Animation Studio,Action,7.86,788,2601,9253
Douluo Dalu: Xiaowu Fuhuo,Sparkly Key Animation Studio,Action,7.86,789,3421,8523
Durarara!! Specials,Brain's Base,Action,7.86,790,161330,1224
Golden Kamuy,Geno Studio,Action,7.86,791,312467,622
Grisaia no Meikyuu: Caprice no Mayu 0,8bit,Drama,7.86,792,211818,946
Hanasaku Iroha Movie: Home Sweet Home,P.A. Works,Drama,7.86,793,82714,2012
Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,Gonzo,Comedy,7.86,794,13533,4993
Kyoukai no Kanata Movie: I'll Be Here - Kako-hen - Yakusoku no Kizuna,Kyoto Animation,Music,7.86,795,56620,2515
Lupin the IIIrd: Chikemuri no Ishikawa Goemon,Telecom Animation Film,Action,7.86,796,34731,3288
Blue Period,Seven Arcs,Drama,7.85,797,354459,534
Detective Conan Movie 01: The Timed Skyscraper,TMS Entertainment,Adventure,7.85,798,64889,2323
Detective Conan Movie 23: The Fist of Blue Sapphire,TMS Entertainment,Action,7.85,799,24010,3928
Flanders no Inu (Movie),Nippon Animation,Drama,7.85,800,20383,4209
Gekkan Shoujo Nozaki-kun,Doga Kobo,Comedy,7.85,801,847970,161
Hoozuki no Reitetsu 2nd Season: Sono Ni,Studio Deen,Comedy,7.85,802,26068,3775
Hoozuki no Reitetsu OVA,Studio Deen,Comedy,7.85,803,16197,4658
Id:Invaded,NAZ,Mystery,7.85,804,308464,629
InuYasha,Sunrise,Action,7.85,805,719281,223
Jibaku Shounen Hanako-kun,Lerche,Comedy,7.85,806,494702,369
K-On!,Kyoto Animation,Comedy,7.85,807,957730,126
K-On!!: Keikaku!,Kyoto Animation,Comedy,7.85,808,115245,1583
Kara no Kyoukai Movie 4: Garan no Dou,ufotable,Action,7.85,809,199641,999
Kobayashi-san Chi no Maid Dragon S: Nippon no Omotenashi - Attend wa Dragon Desu,Kyoto Animation,Fantasy,7.85,810,55691,2539
Kokoro ga Sakebitagatterunda.,A-1 Pictures,Drama,7.85,811,297758,662
Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,Studio Deen,Comedy,7.85,812,358116,528
Kumichou Musume to Sewagakari,feel.,Slice of Life,7.85,813,67502,2271
Magi: Sinbad no Bouken (TV),Lay-duce,Action,7.85,814,437630,428
Non Non Biyori Repeat: Hotaru ga Tanoshinda,SILVER LINK.,Slice of Life,7.85,815,44186,2859
Paradise Kiss,Madhouse,Comedy,7.85,816,196388,1011
Seihou Bukyou Outlaw Star,Sunrise,Action,7.85,817,142557,1348
Tanaka-kun wa Itsumo Kedaruge,SILVER LINK.,Slice of Life,7.85,818,414157,449
Uchouten Kazoku,P.A. Works,Comedy,7.85,819,155876,1264
Michiko to Hatchin,Manglobe,Action,7.84,820,181059,1090
New Initial D Movie: Legend 3 - Mugen,SANZIGEN,Racing,7.84,821,22947,4010
Planetarian: Hoshi no Hito,David Production,Drama,7.84,822,43124,2906
Seitokai Yakuindomo Movie,GoHands,Comedy,7.84,823,53437,2589
Seto no Hanayome OVA,Gonzo,Comedy,7.84,824,50627,2674
Soul Eater,Bones,Action,7.84,825,1479125,55
Suzumiya Haruhi no Yuuutsu,Kyoto Animation,Comedy,7.84,826,851571,159
Tasogare Otome x Amnesia,SILVER LINK.,Horror,7.84,827,369169,507
Urusei Yatsura 2: Beautiful Dreamer,Pierrot,Action,7.84,828,16133,4664
Yume-iro Pâtissière,Studio Hibari,Gourmet,7.84,829,74678,2126
Aoki Hagane no Arpeggio: Ars Nova Movie 2 - Cadenza,SANZIGEN,Action,7.84,830,29422,3558
Beastars 2nd Season,Orange,Drama,7.84,831,373039,504
Break Blade Movie 4: Sanka no Chi,Production I.G,Action,7.84,832,56075,2525
Date A Live IV,GEEK TOYS,Comedy,7.84,833,184231,1069
Detective Conan Movie 22: Zero the Enforcer,TMS Entertainment,Action,7.84,834,25716,3803
Eikoku Koi Monogatari Emma: Molders-hen,Ajia-Do,Drama,7.84,835,24518,3893
Gungrave,Madhouse,Action,7.84,836,174361,1131
Ie Naki Ko,Madhouse,Adventure,7.84,837,13452,5005
K-On!: Live House!,Kyoto Animation,Comedy,7.84,838,147838,1314
91 Days,Shuka,Action,7.83,839,630286,268
Aggressive Retsuko (ONA) 3rd Season,Fanworks,Comedy,7.83,840,73103,2158
Ai no Utagoe wo Kikasete,J.C.Staff,Drama,7.83,841,57060,2508
Capeta,Studio Comet,Racing,7.83,842,24171,3914
Danshi Koukousei no Nichijou Specials,Sunrise,Comedy,7.83,843,125871,1478
Haikyuu!! (OVA),add some,Sports,7.83,844,26280,3761
Hidamari Sketch x 365,Shaft,Comedy,7.83,845,29830,3536
Igano Kabamaru,Group TAC,Action,7.83,846,10070,5611
Lupin III: The First,TMS Entertainment,Action,7.83,847,26215,3765
Mahoujin Guruguru (2017),Production I.G,Adventure,7.83,848,30817,3470
Oniisama e...,Tezuka Productions,Drama,7.83,849,39706,3046
Somali to Mori no Kamisama,Satelight,Adventure,7.83,850,256955,780
Tunshi Xingkong 2nd Season,Sparkly Key Animation Studio,Action,7.83,851,1714,10403
Working'!!,A-1 Pictures,Comedy,7.83,852,248505,803
Yuru Yuri♪♪,Doga Kobo,Comedy,7.83,853,171771,1154
Saiyuuki Gaiden,Anpro,Action,7.82,854,12748,5124
Shingeki no Kyojin Movie 2: Jiyuu no Tsubasa,Wit Studio,Action,7.82,855,110545,1634
Tamayura: Sotsugyou Shashin Part 3 - Akogare,TYO Animations,Comedy,7.82,856,8840,5940
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,Studio Gokumi,Drama,7.82,857,13295,5030
Yuusha-Ou GaoGaiGar,Sunrise,Adventure,7.82,858,19182,4339
Akachan to Boku,Pierrot,Comedy,7.82,859,20721,4185
Aria the Crepuscolo,J.C.Staff,Fantasy,7.82,860,9629,5719
Break Blade Movie 5: Shisen no Hate,Production I.G,Action,7.82,861,53872,2582
Bungou Stray Dogs,Bones,Action,7.82,862,1162435,92
Chuan Shu Zijiu Zhinan,Djinn Power,Drama,7.82,863,14269,4890
Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu,Shin-Ei Animation,Comedy,7.82,864,8317,6080
Goku Sayonara Zetsubou Sensei,Shaft,Comedy,7.82,865,61461,2399
Haikyuu!! Riku vs. Kuu,Production I.G,Sports,7.82,866,253160,793
Heartcatch Precure!,Toei Animation,Action,7.82,867,28347,3631
Jungle wa Itsumo Hare nochi Guu,Shin-Ei Animation,Comedy,7.82,868,32063,3410
Kuroko no Basket: Tip Off,Production I.G,Sports,7.82,869,95953,1815
Little Witch Academia (TV),Trigger,Adventure,7.82,870,578770,310
Lupin the IIIrd: Jigen Daisuke no Bohyou,Telecom Animation Film,Action,7.82,871,25770,3800
Baby Steps,Pierrot,Sports,7.81,872,138536,1377
City Hunter 3,Sunrise,Action,7.81,873,18782,4380
Detective Conan Movie 07: Crossroad in the Ancient Capital,TMS Entertainment,Adventure,7.81,874,47142,2769
Detective Conan Movie 08: Time Travel of the Silver Sky,TMS Entertainment,Adventure,7.81,875,19881,4252
Hidamari Sketch x ☆☆☆ Specials,Shaft,Comedy,7.81,876,13916,4930
Jormungand,White Fox,Action,7.81,877,321096,605
Kekkai Sensen & Beyond,Bones,Action,7.81,878,387986,482
Little Witch Academia,Trigger,Adventure,7.81,879,295105,671
Magi: Sinbad no Bouken,Lay-duce,Action,7.81,880,121521,1513
Maria-sama ga Miteru 3rd,Studio Deen,Drama,7.81,881,20857,4170
Nodame Cantabile: Finale - Mine to Kiyora no Saikai,J.C.Staff,Comedy,7.81,882,41490,2968
Owarimonogatari 2nd Season Recaps,Shaft,Comedy,7.81,883,23530,3959
Psycho-Pass 3: First Inspector,Production I.G,Action,7.81,884,78700,2066
Saint☆Oniisan (Movie),A-1 Pictures,Comedy,7.81,885,86621,1955
Seikai no Senki II,Sunrise,Action,7.81,886,22131,4076
Slayers Try,E&G Films,Adventure,7.81,887,51649,2635
Tunshi Xingkong,Sparkly Key Animation Studio,Sci-Fi,7.81,888,3184,8697
Wolf's Rain,Bones,Action,7.81,889,306375,640
Shingeki no Kyojin: Lost Girls,Wit Studio,Action,7.8,890,269740,745
"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",Kyoto Animation,Drama,7.8,891,249204,802
Coquelicot-zaka kara,Studio Ghibli,Romance,7.8,892,171898,1152
Emiya-san Chi no Kyou no Gohan,ufotable,Comedy,7.8,893,115157,1585
Ginga Tetsudou 999,Toei Animation,Adventure,7.8,894,31673,3426
Hug tto! Precure,Toei Animation,Action,7.8,895,14115,4910
Innocence,Production I.G,Sci-Fi,7.8,896,149036,1305
InuYasha Movie 3: Tenka Hadou no Ken,Sunrise,Action,7.8,897,93730,1855
Jungle wa Itsumo Hare nochi Guu Deluxe,Shin-Ei Animation,Comedy,7.8,898,11834,5265
Last Exile,Gonzo,Action,7.8,899,163235,1218
Lucky☆Star: Original na Visual to Animation,Kyoto Animation,Comedy,7.8,900,125720,1480
Macross F Movie 1: Itsuwari no Utahime,Satelight,Action,7.8,901,29199,3572
"Ame wo Matsu,",add some,Music,7.79,902,4632,7711
Break Blade Movie 3: Kyoujin no Ato,Production I.G,Action,7.79,903,57197,2504
Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,Sunrise,Action,7.79,904,45509,2817
Detective Conan Movie 09: Strategy Above the Depths,TMS Entertainment,Adventure,7.79,905,45120,2831
Detective Conan Movie 12: Full Score of Fear,TMS Entertainment,Adventure,7.79,906,42940,2917
Enen no Shouboutai: Ni no Shou,David Production,Action,7.79,907,620978,273
Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,Phoenix Entertainment,Action,7.79,908,23988,3930
Gochuumon wa Usagi Desu ka??,Kinema Citrus,Comedy,7.79,909,119319,1529
Gochuumon wa Usagi Desu ka??: Dear My Sister,production doA,Comedy,7.79,910,37547,3145
Hibike! Euphonium Movie 2: Todoketai Melody,Kyoto Animation,Drama,7.79,911,26008,3779
High Score Girl,J.C.Staff,Comedy,7.79,912,228204,873
Kara no Kyoukai Movie 2: Satsujin Kousatsu (Zen),ufotable,Action,7.79,913,223064,898
Kubikiri Cycle: Aoiro Savant to Zaregototsukai,Shaft,Drama,7.79,914,94940,1833
Kuroko no Basket Movie 3: Winter Cup - Tobira no Mukou,Production I.G,Comedy,7.79,915,34940,3274
Mobile Suit Gundam Wing: Endless Waltz Special,Sunrise,Action,7.79,916,55452,2544
Saiyuuki Reload: Burial,Pierrot,Action,7.79,917,12562,5160
Saraiya Goyou,Manglobe,Drama,7.79,918,84826,1981
Sekaiichi Hatsukoi: Valentine-hen,Studio Deen,Boys Love,7.79,919,38098,3122
Shiguang Dailiren Fan Wai Pian: Biwu Zhaoqin,Studio LAN,Drama,7.79,920,22945,4011
Shingeki no Kyojin Season 2 Movie: Kakusei no Houkou,Wit Studio,Action,7.79,921,58262,2478
Taishou Otome Otogibanashi,SynergySP,Comedy,7.79,922,104058,1728
Tokyo Ghoul,Pierrot,Action,7.79,923,2519466,7
Magic Kaito,TMS Entertainment,Adventure,7.78,924,66097,2295
Mind Game,Studio 4°C,Adventure,7.78,925,75411,2109
New Initial D Movie: Legend 2 - Tousou,SANZIGEN,Racing,7.78,926,25357,3832
Saenai Heroine no Sodatekata ♭,A-1 Pictures,Comedy,7.78,927,325499,596
Seitokai Yakuindomo Movie 2,GoHands,Comedy,7.78,928,26245,3763
The Last: Naruto the Movie,Pierrot,Action,7.78,929,524960,347
Yuru Yuri Nachuyachumi!+,TYO Animations,Comedy,7.78,930,51053,2658
Zan Sayonara Zetsubou Sensei Bangaichi,Shaft,Comedy,7.78,931,37956,3131
BanG Dream! Garupa☆Pico,SANZIGEN,Comedy,7.78,932,19614,4289
Digimon Adventure: Bokura no War Game!,Toei Animation,Adventure,7.78,933,71923,2182
Grisaia no Rakuen,8bit,Drama,7.78,934,375815,502
Hadashi no Gen,Madhouse,Drama,7.78,935,45829,2812
Hataraku Maou-sama!,White Fox,Comedy,7.78,936,1389564,67
Hoozuki no Reitetsu,Wit Studio,Comedy,7.78,937,121844,1508
Jin-Rou,Production I.G,Drama,7.78,938,153138,1277
Kageki Shoujo!!,Pine Jam,Drama,7.78,939,68571,2251
Lupin III vs. Detective Conan,TMS Entertainment,Action,7.78,940,32177,3399
Lupin III: Part II,Tokyo Movie Shinsha,Action,7.78,941,31099,3456
Akagami no Shirayuki-hime,Bones,Drama,7.77,942,598270,291
Cardcaptor Sakura: Clear Card-hen Prologue - Sakura to Futatsu no Kuma,Madhouse,Fantasy,7.77,943,38710,3097
Colorful (Movie),Sunrise,Drama,7.77,944,179017,1098
Detective Conan OVA 10: Kid in Trap Island,TMS Entertainment,Adventure,7.77,945,17130,4557
Devilman: Crybaby,Science SARU,Action,7.77,946,978524,122
Digimon Adventure,Toei Animation,Action,7.77,947,372784,505
Ghost Hunt,J.C.Staff,Horror,7.77,948,216497,920
"Haikyuu!! vs. ""Akaten""",Production I.G,Sports,7.77,949,82173,2022
Heike Monogatari,Science SARU,Drama,7.77,950,63666,2353
Hidamari Sketch x SP,Shaft,Comedy,7.77,951,13700,4959
Higashi no Eden,Production I.G,Mystery,7.77,952,529250,345
Isekai no Seikishi Monogatari,AIC Spirits,Action,7.77,953,183163,1081
Kokoro Connect,SILVER LINK.,Drama,7.77,954,770830,189
Love Live! School Idol Project 2nd Season,Sunrise,Slice of Life,7.77,955,240282,826
Lupin the Third: Mine Fujiko to Iu Onna,TMS Entertainment,Action,7.77,956,57171,2505
Maria-sama ga Miteru 4th,Studio Deen,Girls Love,7.77,957,20579,4196
New Initial D Movie: Legend 1 - Kakusei,SANZIGEN,Action,7.77,958,31884,3417
Ojamajo Doremi Na-i-sho,Toei Animation,Comedy,7.77,959,9428,5772
Seitokai Yakuindomo OVA,GoHands,Comedy,7.77,960,120622,1523
Shanhe Jian Xin,Motion Magic,Action,7.77,961,6619,6671
Shiki Specials,Daume,Horror,7.77,962,66391,2288
Star☆Twinkle Precure: Hoshi no Uta ni Omoi wo Komete,Toei Animation,Action,7.77,963,3099,8774
Tentai Senshi Sunred,AIC ASTA,Comedy,7.77,964,21108,4150
The Disappearance of Conan Edogawa: The Worst Two Days in History,TMS Entertainment,Adventure,7.77,965,11802,5274
The Everlasting Guilty Crown,add some,Music,7.77,966,33710,3337
Mobile Suit Gundam,Sunrise,Sci-Fi,7.76,967,116624,1565
Mobile Suit Gundam III: Encounters in Space,Sunrise,Action,7.76,968,28775,3604
Overlord II,Madhouse,Action,7.76,969,869165,155
Ranma ½,Studio Deen,Comedy,7.76,970,230888,863
Shadows House,CloverWorks,Slice of Life,7.76,971,183234,1080
Shaman King,Xebec,Action,7.76,972,341283,563
Snow Halation,Sunrise,Idols (Female),7.76,973,20930,4164
Tamayura: Sotsugyou Shashin Part 2 - Hibiki,TYO Animations,Comedy,7.76,974,9260,5829
Texhnolyze,Madhouse,Action,7.76,975,221845,903
Toshokan Sensou: Kakumei no Tsubasa,Production I.G,Action,7.76,976,22555,4039
Akebi-chan no Sailor-fuku,CloverWorks,Slice of Life,7.76,977,136416,1391
BanG Dream! Garupa☆Pico: Oomori,SANZIGEN,Comedy,7.76,978,9592,5730
City Hunter '91,Sunrise,Action,7.76,979,19930,4250
Doraemon (1979),Shin-Ei Animation,Adventure,7.76,980,54106,2578
Genshiken 2,Arms,Comedy,7.76,981,78903,2062
Ghost (Music),add some,Music,7.76,982,1397,10902
Go! Princess Precure,Toei Animation,Action,7.76,983,15463,4742
Gochuumon wa Usagi Desu ka??: Sing for You,production doA,Comedy,7.76,984,22208,4072
Kino no Tabi: The Beautiful World - Nanika wo Suru Tame ni - Life Goes On.,A.C.G.T.,Adventure,7.76,985,52639,2609
Kochira Katsushikaku Kameari Kouenmae Hashutsujo,Gallop,Comedy,7.76,986,15863,4693
Kuroko no Basket: Last Game NG-shuu,Production I.G,Comedy,7.76,987,29272,3568
Kyou kara Maou! 3rd Series,Studio Deen,Adventure,7.76,988,31995,3412
Little Witch Academia: Mahoujikake no Parade,Trigger,Adventure,7.76,989,160814,1228
Love Live! Nijigasaki Gakuen School Idol Doukoukai 2nd Season,Sunrise,Slice of Life,7.76,990,27636,3674
Aggressive Retsuko (ONA) 2nd Season,Fanworks,Comedy,7.75,991,100077,1776
BanG Dream! 5th Anniversary Animation: CiRCLE Thanks Party!,SANZIGEN,Music,7.75,992,2296,9580
Charlotte,P.A. Works,Drama,7.75,993,1425870,65
Claymore,Madhouse,Action,7.75,994,619903,274
Crayon Shin-chan,Shin-Ei Animation,Comedy,7.75,995,72995,2162
Doupo Cangqiong 3rd Season,Motion Magic,Action,7.75,996,5894,6985
Free! Take Your Marks,Kyoto Animation,Slice of Life,7.75,997,71811,2184
Gakuen Babysitters Special,Brain's Base,Comedy,7.75,998,35355,3251
Golden Time,J.C.Staff,Comedy,7.75,999,917151,144
Hibike! Euphonium Movie 3: Chikai no Finale,Kyoto Animation,Drama,7.75,1000,55057,2552
